nivel1;nivel2;nivel3
Actividad Notarial;NOTARIADO;1. Evolución del número de documentos autorizados y actos jurídicos contenidos en los mismos según tipo.
Actividad Notarial;NOTARIADO;2. Número de actos jurídicos que contienen los documentos autorizados e intervenidos según municipios y tipo.
Actividad Notarial;HIPOTECAS. DATOS MENSUALES.;1. Evolución de las hipotecas constituidas sobre el total de fincas según naturaleza de la finca.
Actividad Notarial;HIPOTECAS. DATOS MENSUALES.;2. Fincas urbanas. Evolución de las hipotecas constituidas sobre el total de fincas según entidad que concede el préstamo.
Actividad Notarial;HIPOTECAS. DATOS MENSUALES.;3. Fincas rústicas. Evolución de las hipotecas constituidas sobre el total de fincas según entidad que concede el préstamo.
Actividad Notarial;HIPOTECAS. DATOS MENSUALES.;4. Evolución del número de hipotecas canceladas registralmente sobre el total de fincas según naturaleza de la finca.
Actividad Notarial;HIPOTECAS. DATOS MENSUALES.;5. Evolución del número de hipotecas canceladas registralmente sobre el total de fincas según entidad que concede el préstamo.
Actividad Notarial;HIPOTECAS. DATOS MENSUALES.;6. Evolución del número de hipotecas con cambios registrales sobre el total de fincas según tipo de cambio y naturaleza de la finca.
Actividad Notarial;HIPOTECAS. DATOS ANUALES.;1. Evolución de las hipotecas constituidas sobre el total de fincas según naturaleza de la finca.
Actividad Notarial;HIPOTECAS. DATOS ANUALES.;2. Fincas urbanas. Evolución de las hipotecas constituidas sobre el total de fincas según entidad que concede el préstamo.
Actividad Notarial;HIPOTECAS. DATOS ANUALES.;3. Fincas rústicas. Evolución de las hipotecas constituidas sobre el total de fincas según entidad que concede el préstamo.
Actividad Notarial;HIPOTECAS. DATOS ANUALES.;4. Evolución del número de hipotecas canceladas registralmente sobre el total de fincas según naturaleza de la finca.
Actividad Notarial;HIPOTECAS. DATOS ANUALES.;5. Evolución del número de hipotecas canceladas registralmente sobre el total de fincas según entidad que concede el préstamo.
Actividad Notarial;HIPOTECAS. DATOS ANUALES.;6. Evolución del número de hipotecas con cambios registrales sobre el total de fincas según tipo de cambio y naturaleza de la finca.
Actividad Notarial;EJECUCIONES HIPOTECARIAS. DATOS TRIMESTRALES.;1. Evolución de las ejecuciones hipotecarias iniciadas e inscritas en los registros de la propiedad sobre fincas rústicas y urbanas.
Actividad Notarial;EJECUCIONES HIPOTECARIAS. DATOS TRIMESTRALES.;2. Evolución de las viviendas con ejecución hipotecaria iniciada según estado.
Actividad Notarial;EJECUCIONES HIPOTECARIAS. DATOS TRIMESTRALES.;3. Evolución de las viviendas con ejecución hipotecaria iniciada según titularidad.
Actividad Notarial;EJECUCIONES HIPOTECARIAS. DATOS ANUALES.;1. Evolución de las ejecuciones hipotecarias iniciadas e inscritas en los registros de la propiedad sobre fincas rústicas y urbanas.
Actividad Notarial;EJECUCIONES HIPOTECARIAS. DATOS ANUALES.;2. Evolución de las viviendas con ejecución hipotecaria iniciada según estado.
Actividad Notarial;EJECUCIONES HIPOTECARIAS. DATOS ANUALES.;3. Evolución de las viviendas con ejecución hipotecaria iniciada según titularidad.
Actividad Notarial;TRANSACCIONES INMOBILIARIAS;1. Número total de transacciones inmobiliarias según municipios y tipo de vivienda.
Actividad Notarial;TRANSACCIONES INMOBILIARIAS;2. Evolución del número total de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).
Actividad Notarial;TRANSACCIONES INMOBILIARIAS;3. Vivienda nueva. Evolución del número de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).
Actividad Notarial;TRANSACCIONES INMOBILIARIAS;4. Vivienda de segunda mano. Evolución del número de transacciones inmobiliarias según municipios, por tipo de vivienda (libre/protegida).
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;1. Evolución de las transmisiones efectuadas sobre fincas rústicas y urbanas.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;2. Evolución de las fincas rústicas y urbanas transmitidas según título de adquisición.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;3. Evolución de las viviendas transmitidas según título de adquisición.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;4. Evolución de la compraventa de viviendas según estado de la vivienda.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;5. Evolución de la compraventa de viviendas según régimen de la vivienda.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;6. Evolución de las transmisiones efectuadas según zonas, por tipo de finca.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;7. Fincas rústicas, urbanas y viviendas transmitidas según zonas y título de adquisición.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;8. Compraventa de viviendas según zonas y estado de la vivienda.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS MENSUALES;9. Compraventa de viviendas según zonas y régimen de la vivienda.
Actividad Notarial;ESTADÍSTICA DE TRANSMISIONES DE DERECHOS DE LA PROPIEDAD. DATOS ANUALES;1. Evolución de las transmisiones efectuadas sobre fincas rústicas y urbanas.
